resume_id,actual_category,predicted_position,skills,education,experience
28,Data Science,Data Science,"Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, Web Crawling, HTML, CSS, Pandas, Scikit-learn, TensorFlow, NumPy, Matplotlib, NLTK, MySQL, Text classification, Sentiment analysis, Tf-idf, LSA, Cosine similarity, Selenium WebDriver, Beautiful Soup, Technical understanding, Learning agility, High energy, Result-oriented, Communication, Policy explanation","Master of Engineering in Computer Technology & Application (Truba Institute of Engineering & Information Technology, 2018), B.E. in Computer Science (RKDF Institute of Science and Technology College of Engineering, 2010), Polytechnic in Information Technology (SATI Engineering College, 2006), M.tech Thesis (BMCH School, 2003)","Six months experience in Data Science. At RNT.AI Technology Solution, worked on text classification using machine learning algorithms with Python, developed custom data models and algorithms, applied deep learning algorithms (RNN), and performed sentiment analysis. Utilized Python packages like Pandas, Scikit-learn, TensorFlow, NumPy, Matplotlib, NLTK, and worked with SQL/MySQL. Performed web crawling using Selenium WebDriver and Beautiful Soup. At Life Insurance Corporation of India, explained policy features and benefits and maintained updated knowledge of life insurance products."
29,Data Science,Data Science,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization Tools, Machine Learning Algorithms, Business Intelligence (BI), Research, Reports and Forecasts, Algorithms, BI, Business Intelligence, Machine Learning, Visualization, Spark, Python, Tableau, Data Analysis, AWS LEX, TensorFlow, Selenium WebDriver, Hadoop Eco System, Hive, PySpark, QlikSense, Microsoft Face API, OpenCV, R, NLP, Apache Spark, IBM Bluemix, Mentoring, Research Evaluation, Project Management, Solution Providing, Social Impact Projects","PGP in Data Science from Aegis School of Data Science & Business, Mumbai, Maharashtra; B.E. in Electronics & Communication from IES IPS Academy, Indore, Madhya Pradesh","Data Scientist with PR Canada. Adjunct faculty member at Aegis School of Data Science, Mumbai (2017-Present) teaching undergraduate and graduate-level courses in Spark and Machine Learning. Data Science Intern at Aegis school of Data & Business (Nov 2015 - Jan 2016), providing insights, analytics, reports, and recommendations to executive leadership. Worked on industry projects for solution provision. Developed a Chat Bot using AWS LEX and TensorFlow. Performed web scraping using Selenium WebDriver. Built data visualization and insights solutions using Hadoop Eco System, Hive, PySpark, and QlikSense. Developed an Image Based Fraud Detection system using Microsoft Face API, PySpark, and OpenCV. Conducted Churn Analysis for an Internet Service Provider using R, Python, Machine Learning, and Hadoop. Performed Sentiment Analysis using Python, NLP, and Apache Spark service in IBM Bluemix. Mentored Data Science Enthusiasts, reviewed research papers, headed a solution providing organization, and worked on social cause projects. Worked at IBM India pvt ltd, primarily on Blumix and IBM Watson for Data Science."
30,Data Science,Data Science,"Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery, Regression, SVM, Naive Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV, Deep learning, NLTK, spacy, tfidf, word2vec, doc2vec, cosine similarity, Vader, text blob, Bootstrap, Node.js",Data Science Assurance Associate,"Core member of a team developing an automated review platform tool for E-discovery, implementing predictive coding and topic modeling. Conducted research and development for classification models and predictive analysis. Performed sentiment and time series analysis on customer feedback data, created visualizations, and developed a user-friendly chatbot. Managed information governance by scanning and parsing data, extracting metadata, and performing ROT and full-text search analysis. Involved in a Fraud Analytics and investigative platform to identify anomalies in accounting systems."
31,Data Science,Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, missing value treatment, outlier detection, encoding, scaling, feature selection, dimensionality reduction, classification, regression, time series forecasting (ARIMA, SARIMAX, Holt-winter, Prophet), meta-feature extraction",B.E from UIT-RGPV (May 2013 - May 2017),"Developed and deployed auto preprocessing steps of machine learning (missing value treatment, outlier detection, encoding, scaling, feature selection, dimensionality reduction). Deployed automated classification and regression models. Researched and deployed time series forecasting models (ARIMA, SARIMAX, Holt-winter, Prophet). Worked on meta-feature extracting problems. Implemented a state-of-the-art research paper on outlier detection for mixed attributes at Matelabs."
32,Data Science,Data Science,"Deep Learning, Control System Design, Programming in Python, Electric Machinery, Web Development, Analytics, Matlab, Java, LabView, Django, Flask, LTSPICE, MIPOWER, Github (GitBash), Jupyter Notebook, Xampp, MySQL, Anaconda, Python2, Python3, Pycharm, Eclipse, Windows, Ubuntu, Debian-Kali Linux, Data Analysis, Excel, Machine Learning, Mathematics, SQL","B.Tech. Electrical and Electronics Engineering - Manipal Institute of Technology (January 2019), DEEKSHA CENTER (January 2015), Little Flower Public School (January 2013), Manipal Academy of Higher (August 2000)","Currently working with a Casino based operator in Macau, focusing on customer segmentation to improve target marketing strategies. Previously, 4 weeks internship at Hindustan Aeronautics Limited, Bangalore, under Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft."
33,Data Science,Data Science,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C#, Linear Programming, Data Modelling, Advance Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Deep Learning, Machine Learning, ETL, Time Series Forecasting, K-means, RFM analysis, Decision Tree, SQL, T-SQL, PL-SQL, UML, Performance Tuning, Data Flow Diagrams, Entity Relationship Diagrams, Data Extraction, Report Building, Data Restructuring, Model Deployment, Data Validation, Project Management, Team Leadership, Client Interaction, Requirements Gathering, Database Maintenance, Quality Assurance, User Acceptance Testing, Knowledge Transfer, Support Activities","[{'degree': 'PGDM Business Analytics', 'university': 'Great Lakes Institute of Management & Illinois Institute of Technology', 'dates': 'January 2017 to January 2018'}, {'degree': 'Bachelor of Engineering Electronics and Communication', 'university': 'New Horizon College of Engineering, Bangalore Visvesvaraya Technological University', 'dates': 'January 2013'}]","[{'title': 'Data Science Consultant', 'company': 'Deloitte USI', 'description': 'Analyzed historic deals to optimize future deals, extracted data, built Tableau reports, inferred insights for price optimization and process blockades. Developed sentence correction functionality for handwriting recognition using LSTM models in Python. Led offshore team for analytics infrastructure development on SAP S/4, including data modeling, ETL, and report validation. Involved in design to deploy phase for clinical healthcare system, performing data restructuring and building models. Set up CRM and CBP modules, developed various models for consumption-based planning. Segmented customer data using K-means and RFM analysis in Python. Developed decision tree for telecom invoice state detection.', 'duration': 'Consultant: 3 months (Handwriting recognition), 8 months (SWIFT), 2 months (Clinical Healthcare System), 8 months (Consumption Based Planning), 3 months (Customer Segmentation), 1 month (Telecom Invoice state detection)'}, {'title': 'Senior Developer', 'company': 'Accenture Solutions Pvt. Ltd., India', 'description': 'Developed SAP analytics tool (In Process Analytics - IPA), focusing on database objects and data models for operational insights. Developed Finance related KPIs, spearheaded deployments, and introduced SAP Predictive analytics. Designed and implemented SAP HANA data modeling, created complex SQL scripts, and developed dashboard functionality. Involved in building data processing algorithms for R server.', 'duration': '19 months'}, {'title': 'Database Developer', 'company': 'Accenture Solutions Pvt. Ltd., India', 'description': 'Managed all development activities for Accenture Testing Accelerator for SAP (ATAS) tool, including deployments. Involved in maintenance of production and quality database servers. Analyzed business requirements, created/updated database objects (tables, views, stored procedures, functions, packages), monitored SQL Server logs, prepared DFDs and ERDs, designed and normalized database tables, performed performance tuning, and participated in QA, UAT, knowledge transfer, and support.', 'duration': '21 months'}]"
34,Data Science,Data Science,"Data Structure, C, Data Analysis, Python, Core Java, Database Management","MCA from YMCAUST, Faridabad, Haryana",Data Science internship at Itechpower
35,Data Science,Data Science,"C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, MS OFFICE","B.Tech. from Aurora's Scientific and Technological Institute (August 2014 - May 2018), Secondary Education from SR Junior College (June 2012 - May 2014)","Less than 1 year experience in MS OFFICE, C, machine learning, data science, and Matlab."
36,Data Science,Data Science,"Python, Tableau, Data Visualization, R Studio, Machine Learning, Statistics, Data Science, Data manipulation, Data cleaning, Data processing, Advanced querying, Analytics tools, Problem-solving, Decision making","B. Tech Computer Science & Engineering, Indo Global College of Engineering (January 2017)","1+ years of experience as a Data Science Consultant at Datamites, focusing on data analysis, processing, visualization, and validation using Python and Tableau. Also worked at Heretic Solutions Pvt Ltd, identifying business issues, proposing data-driven solutions, and utilizing Python, Excel, R, machine learning, and statistical techniques."
37,Data Science,Data Science,"Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network, Deep Learning, Data Science, Software Development, Algorithms, NLP, Seaborn, Matplotlib, Cufflinks, KNN, Decision Tree, Bias variance Trade off, Support vector Machine (SVM), Logistic Regression, MySQL, Oracle, C++, Java, Google Cloud, Linux, Ubuntu, Windows, Interpersonal skills, Communication skills, Problem solving, Flexibility, Code reusability, Linear regression, K means clustering, SQL, NetBeans, Notebooks, Sublime, Service Now, Remedy, Text extraction, Regex, Bluemix NLU APIs, SKLearn classifier (MNB, SVM, SGD), RNN (LSTM) Bidirectional model, Keras TensorFlow framework","B.Tech (Computer Science) from Rayat and Bahra Institute of Engineering and Biotechnology (2016, 78.4%), XII from Moti Ram Arya Sr. Secondary School (2012, 78.4%), X from Valley Public School (2010, 9.4 CGPA)","2 years of experience at Wipro Technologies in Machine Learning, Deep Learning, Data Science, Python, and Software Development. Managed end-to-end development and software products/projects. Worked on Wipro Neural Intelligence Platform, focusing on automation and AI technologies like NLP, cognitive, machine learning, and analytics. Developed Entity Extractor using text extraction, NLP, Regex, Bluemix NLU APIs, and TensorFlow. Implemented Classifier using SKLearn classifiers (MNB, SVM, SGD) for predicting output. Developed a Deep Learning NER Model using RNN (LSTM) Bidirectional model with Keras TensorFlow framework. Also developed a Diabetes Detection software."
